member_casual,season,rides,avg_ride_min
casual,Winter,87768,12.892099584130014
casual,Spring,363779,19.530938904300207
casual,Summer,910681,21.678909690972144
casual,Fall,559660,18.46525330010162
member,Winter,371998,10.205756309533767
member,Spring,780375,11.487069632227625
member,Summer,1253047,13.034430095907048
member,Fall,1093782,12.051608343740982
